V1.1 BOM,,,,
Reference, Value, Footprint,Manufacturer,Mfg P/N
U3,ESP8266EX,Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm,Espressif,ESP8266EX
C1,10uF,Capacitors_SMD:C_1206,Yageo,CC1206KKX7R8BB106
C5,22uF,Capacitors_SMD:C_1206,Yageo,CC1206KKX7R6BB226
R8,12K,Resistors_SMD:R_0603,Vishay/Dale,CRCW060312K0FKEA
C6,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104
C7,100uF,Capacitors_SMD:C_1206,Yageo,CC1206MKX5R5BB107
C8,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104
X1,26MHz 10ppm 3x2.5mm,Crystals_Oscillators_SMD:crystal_FA238-TSX3225,Epson Timing,TSX-3225 26.0000MF09Z-AC3
C2,10pF,Capacitors_SMD:C_0603,Yageo,CC0603GRNPO9BN100
C3,10pF,Capacitors_SMD:C_0603,Yageo,CC0603GRNPO9BN100
C10,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104
ANT1,ANTENNA,umetronics:PCB_IF_ANT_2.4G,NA,NA
L1,NC,Resistors_SMD:R_0603,NA,NA
L2,NC,Resistors_SMD:R_0603,NA,NA
C4,5.6pF C0G,Capacitors_SMD:C_0603,Yageo,CC0603CRNPO9BN5R6
SW1,3x6x2.5mm,Buttons_Switches_SMD:SW_SPST_EVQPE1,TE Connectivity,FSMSM
R1,10k,Resistors_SMD:R_0603,Vishay/Dale,CRCW060310K0FKEA
SW2,3x6x2.5mm,Buttons_Switches_SMD:SW_SPST_EVQPE1,TE Connectivity,FSMSM
R2,10k,Resistors_SMD:R_0603,Vishay/Dale,CRCW060310K0FKEA
U4,W25Q32FV,umetronics:SOIC-8-208,Winbond,W25Q32FVSSIG
C11,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104
R4,220R,Resistors_SMD:R_0603,Vishay/Dale,CRCW0603220RFKEA
U2,PT4115B89E,Housings_SOT-89:SOT89-5_Housing,PowTech,PT4115B89E
R3,0R1,Resistors_SMD:R_1206,Yageo,PT1206FR-070R1L
D1,SS24,Diodes_SMD:SMB_Standard,ON Semiconductor,SS24T3G
L3,33uH,Choke_SMD:Choke_SMD_12x12mm_h8mm,TDK,B82477G4333M
C12,10uF,Capacitors_SMD:C_1206,Yageo,CC1206KKX7R8BB106
P1,CONN_01X02,umetronics:5EHDRM-02P,Dinkle,5EHDRM-02P
P2,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,TE Connectivity,4-103321-5
P3,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,TE Connectivity,5-146278-2
R5,4k7,Resistors_SMD:R_0603,Vishay/Dale,CRCW06034K70FKEA
R6,4k7,Resistors_SMD:R_0603,Vishay/Dale,CRCW06034K70FKEA
C13,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104
P5,CONN_01X02,Connect:bornier2,TE Connectivity,282837-2
C9,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104
U1,AMS1117-3.3,TO_SOT_Packages_SMD:SOT-223,Advanced Monolithic Systems,AMS1117-3.3
,,15mm dia switch,,
