"Note: for the most part these aren't the actual P/N's I've used, but rather what I think would be suitable and is available from suppliers. YMMV.",,,,,,
Reference, Value, Footprint,Manufacturer,Mfg P/N,Location,Status
U3,ESP8266EX,Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm,Espressif,ESP8266EX,None,ordered
C1,10uF,Capacitors_SMD:C_1206,Yageo,CC1206KKX7R8BB106,None,ordered
C5,22uF,Capacitors_SMD:C_1206,Yageo,CC1206KKX7R6BB226,None,ordered
R8,12K,Resistors_SMD:R_0603,Vishay/Dale,CRCW060312K0FKEA,None,ordered
C6,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104,01-03-03,in stock
C7,10uF,Capacitors_SMD:C_1206,Yageo,CC1206KKX7R8BB106,None,ordered
C8,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104,01-03-03,in stock
X1,26MHz 10ppm 3x2.5mm,Crystals_Oscillators_SMD:crystal_FA238-TSX3225,Epson Timing,TSX-3225 26.0000MF09Z-AC3,None,ordered
C2,10pF,Capacitors_SMD:C_0603,Yageo,CC0603GRNPO9BN100,None,ordered
C3,10pF,Capacitors_SMD:C_0603,Yageo,CC0603GRNPO9BN100,None,ordered
C10,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104,01-03-03,in stock
ANT1,ANTENNA,umetronics:PCB_IF_ANT_2.4G,NA,NA,NA,NA
L1,NC,Resistors_SMD:R_0603,NA,NA,NA,NA
L2,NC,Resistors_SMD:R_0603,NA,NA,NA,NA
C4,5.6pF C0G,Capacitors_SMD:C_0603,Yageo,CC0603CRNPO9BN5R6,None,ordered
SW1,3x6x2.5mm,Buttons_Switches_SMD:SW_SPST_EVQPE1,TE Connectivity,FSMSM,None,ordered
R1,10k,Resistors_SMD:R_0603,Vishay/Dale,CRCW060310K0FKEA,01-01-01,in stock
SW2,3x6x2.5mm,Buttons_Switches_SMD:SW_SPST_EVQPE1,TE Connectivity,FSMSM,None,ordered
R2,10k,Resistors_SMD:R_0603,Vishay/Dale,CRCW060310K0FKEA,01-01-01,in stock
U4,W25Q32FV,umetronics:SOIC-8-208,Winbond,W25Q32FVSSIG,None,ordered
C11,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104,01-03-03,in stock
R4,220R,Resistors_SMD:R_0603,Vishay/Dale,CRCW0603220RFKEA,None,ordered
U2,PT4115B89E,Housings_SOT-89:SOT89-5_Housing,PowTech,PT4115B89E,None,ordered
R3,0R1,Resistors_SMD:R_1206,Yageo,PT1206FR-070R1L,None,ordered
D1,SS24,Diodes_SMD:SMB_Standard,ON Semiconductor,SS24T3G,None,ordered
L3,33uH,Choke_SMD:Choke_SMD_12x12mm_h8mm,TDK,B82477G4333M,01-07-03,in stock
C12,10uF,Capacitors_SMD:C_1206,Yageo,CC1206KKX7R8BB106,None,ordered
P1,CONN_01X02,umetronics:5EHDRM-02P,Dinkle,5EHDRM-02P,Scrap,in stock
P2,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,TE Connectivity,4-103321-5,01-09-01,in stock
P3,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,TE Connectivity,5-146278-2,01-09-01,in stock
R5,R,Resistors_SMD:R_0603,,,None,ordered
R6,R,Resistors_SMD:R_0603,,,None,ordered
C13,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104,01-03-03,in stock
P5,CONN_01X02,Connect:bornier2,TE Connectivity,282837-2,None,ordered
C9,0.1uF,Capacitors_SMD:C_0603,Yageo,CC0603KRX7R9BB104,01-03-03,in stock
U1,AMS1117-3.3,TO_SOT_Packages_SMD:SOT-223,Advanced Monolithic Systems,AMS1117-3.3,01-07-01,in stock
,,15mm dia switch,,,None,ordered
